current_timestamp,forecast_timestamp,pinn_mean,pinn_max,nn2_mean,nn2_max,correction_mean,correction_min,correction_max,correction_std,correction_range
2026-02-01,2026-02-01 03:00:00,236.27605993384987,1019.3013988138632,190.9906744925299,999.8269803742677,-45.28538544132001,-333.3803406586074,118.23164448001012,86.48758984670853,451.6119851386175
2026-02-01 01:00:00,2026-02-01 04:00:00,327.48176442404485,1327.5507935933158,269.495336688861,1313.2219222567849,-57.98642773518386,-433.4613469136107,170.40969613975892,113.17525498556947,603.8710430533697
2026-02-01 01:00:00,2026-02-01 04:00:00,1757.7798632852541,9418.178951818174,1734.9828832474147,10041.345302470725,-22.796980037839692,-1348.3149129376068,1002.6257429985944,404.80796557547967,2350.9406559362014
2026-02-01 01:00:00,2026-02-01 04:00:00,1505.0102703641587,9097.960173534017,1445.0471019389593,8933.258060107013,-59.96316842519954,-544.131795836649,207.31269246596418,148.92319686532204,751.4444883026131
2026-02-01 15:00:00,2026-02-01 18:00:00,63.467761384104215,438.7439142327049,55.40448983373064,437.32508804981796,-8.063271550373576,-81.18674260995014,40.15239450270536,20.37388932179411,121.33913711265551
2026-02-01 11:00:00,2026-02-01 14:00:00,6901.549732114902,110868.71694906132,7501.239356520907,108588.95874312293,599.6896244060038,-3077.6373916617013,3695.4068346544746,1423.3397678583747,6773.044226316176
2026-02-01 11:00:00,2026-02-01 14:00:00,1797.2162711465753,10015.287208304255,1667.9731827965434,9478.616157534756,-129.24308835003177,-846.4189192471549,232.69511489323668,211.2312281134768,1079.1140341403916
2026-02-01 12:00:00,2026-02-01 15:00:00,1495.4264878327497,9599.213068311845,1490.1432086241477,9759.702159684812,-5.2832792086018125,-575.667307626918,333.6962931617436,181.0666309641057,909.3636007886616
2026-02-01 12:00:00,2026-02-01 15:00:00,1978.3644534268697,9794.10291265725,1617.766073736355,8111.947271399073,-360.59837969051455,-2299.5188740499625,563.673903583076,561.1834000398319,2863.1927776330385
2026-02-01 12:00:00,2026-02-01 15:00:00,1975.9368034618483,9790.984117262353,1616.3328934027788,8114.069181983245,-359.6039100590695,-2292.360060717515,561.2154133611857,559.4998238918406,2853.5754740787006
2026-02-01 12:00:00,2026-02-01 15:00:00,1978.3644534268697,9794.10291265725,1617.766073736355,8111.947271399073,-360.59837969051455,-2299.5188740499625,563.673903583076,561.1834000398319,2863.1927776330385
2026-02-01 12:00:00,2026-02-01 15:00:00,1978.3644534268697,9794.10291265725,1617.766073736355,8111.947271399073,-360.59837969051455,-2299.5188740499625,563.673903583076,561.1834000398319,2863.1927776330385
